Codigo;NomeBarragem;NomeEmpreendedor;CpfCnpjFormatado;LatitudeFormatada;LongitudeFormatada;CoordenadaSIRGAFormatado;Municipio;UF;Minerio;Altura;VolumeAtualFormatado;MetodoConstrutivoFormatado;CategoriaRisco;DanoPotencial;InseridaPNSBFormatada;SituacaoNivelEmergencial;SituacaoDeclaracaoCondicaoEstabilidade;SituacaoDeclaracaoConformidadeOperacionalidade
8591;ADÃO RODUÍ;Adão Afonso Roduí;***;-16°14'05.580";-56°39'08.650";Sul do Equador;POCONÉ;MT;Areia;14,00;300.000,00;2 - Alteamento a jusante;N/A;N/A;Não;Sem emergência;-;-
9353;Água Fria ;Topazio Imperial Mineração Comercio e Industria Ltda;16.857.294/0001-02;-20°26'50.670";-43°38'37.760";Sul do Equador;OURO PRETO;MG;Aluvião com Gemas;34,00;2.100.000,00;10 - Alteamento a montante;Alto;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Atestado;1º Campanha 2023 - Não Atestado
9661;Agua Limpa;Granha Ligas Ltda;05.833.746/0001-08;-21°05'02.170";-44°34'36.666";Sul do Equador;SÃO TIAGO;MG;;10,00;177.067,00;0 - Etapa única;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8458;Alain II;Alain Stephane Riviere Mineração;15.264.439/0001-07;-16°15'18.000";-56°36'55.000";Sul do Equador;POCONÉ;MT;Areia;10,00;844.440,00;5 - Alteamento por linha de centro;Médio;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8311;Alcindo Vieira;VALE S.A.;33.592.510/0001-54;-19°34'28.232";-43°14'46.628";Sul do Equador;ITABIRA;MG;Minério de Ferro;24,00;562.350,00;2 - Alteamento a jusante;Baixo;Baixo;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
9037;Alemães;GERDAU ACOMINAS S/A;17.227.422/0001-05;-20°25'24.810";-43°45'11.170";Sul do Equador;OURO PRETO;MG;Minério de Ferro;57,00;3.415.000,00;10 - Alteamento a montante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8276;Alto Jacutinga;VALE S.A.;33.592.510/0001-54;-20°25'33.600";-43°53'09.500";Sul do Equador;CONGONHAS;MG;Minério de Ferro;10,61;104.144,00;5 - Alteamento por linha de centro;N/A;N/A;Não;Sem emergência;-;-
9639;Alvo Crente;ALTA FLORESTA GOLD MINERACAO LTDA;17.580.707/0001-17;-09°22'46.850";-56°33'52.000";Sul do Equador;PARANAÍTA;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
9632;Área IX;VALE S.A.;33.592.510/0001-54;-20°24'44.114";-43°52'43.867";Sul do Equador;OURO PRETO;MG;Minério de Ferro;24,75;639.854,00;10 - Alteamento a montante;Médio;Alto;Sim;Nível de Alerta;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9229;Area M;CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO Filial: CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO;27.184.936/0007-61;-04°31'24.900";-44°00'57.700";Sul do Equador;CODÓ;MA;Calcário;6,00;2.839.200,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9676;ARENAL;COOPERATIVA DE MINERADORES E GARIMPEIROS DA REGIAO DE ARIPUANA - COOPEMIGA;36.084.594/0001-03;-10°07'24.610";-59°28'29.000";Sul do Equador;ARIPUANÃ;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
8193;Azul;VALE S.A.;33.592.510/0001-54;-06°04'41.300";-50°17'29.300";Sul do Equador;PARAUAPEBAS;PA;Minério de Manganês;32,00;12.995.662,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9101;B;VALE S.A.;33.592.510/0001-54;-20°07'27.900";-43°55'30.800";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;40,00;841.897,18;0 - Etapa única;Alto;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Não Atestado;1º Campanha 2023 - Atestado
9125;B1;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°15'54.986";-47°45'11.400";Sul do Equador;PARAGOMINAS;PA;Bauxita Grau Metalúrgico;31,80;21.100.000,00;5 - Alteamento por linha de centro;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8979;B1;EUROMAQUINAS MINERACAO LTDA;19.882.154/0001-82;-14°32'41.040";-59°46'31.110";Sul do Equador;NOVA LACERDA;MT;Rocha Aurífera;6,00;245.385,00;0 - Etapa única;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9122;B1;Valdinei Mauro de Souza;***;-16°08'21.600";-56°23'45.600";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;19,13;1.543.248,82;2 - Alteamento a jusante;Médio;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8934;B1;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'39.200";-45°08'00.700";Sul do Equador;ITAPECERICA;MG;Xisto;12,00;55.000,00;2 - Alteamento a jusante;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8935;B2;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'24.200";-45°07'55.200";Sul do Equador;ITAPECERICA;MG;Xisto;13,00;798.178,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8366;B3;VALE S.A.;33.592.510/0001-54;-19°52'43.139";-43°22'41.690";Sul do Equador;SÃO GONÇALO DO RIO ABAIXO;MG;Minério de Ferro;19,50;137.575,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8215;B3/B4;VALE S.A.;33.592.510/0001-54;-20°02'51.400";-43°57'15.700";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;44,67;540.891,00;10 - Alteamento a montante;Alto;Alto;Sim;Nível de Emergência 2;2º Campanha 2023 - Não Atestado;1º Campanha 2023 - Atestado
8699;B4;ITAMINAS COMERCIO DE MINERIOS SA;18.752.824/0001-83;-20°05'30.600";-44°05'60.000";Sul do Equador;SARZEDO;MG;Minério de Ferro;95,00;1.857.693,49;5 - Alteamento por linha de centro;Baixo;Alto;Sim;Nível de Alerta;2º Campanha 2023 - Atestado;1º Campanha 2023 - Não Atestado
8936;B4;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'16.300";-45°08'54.300";Sul do Equador;ITAPECERICA;MG;Xisto;43,50;1.090.000,00;5 - Alteamento por linha de centro;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9127;B5;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°16'30.000";-47°44'10.800";Sul do Equador;PARAGOMINAS;PA;Bauxita Grau Metalúrgico;37,00;12.237.239,00;2 - Alteamento a jusante;Baixo;Baixo;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8982;B5;EUROMAQUINAS MINERACAO LTDA;19.882.154/0001-82;-14°32'13.600";-59°46'12.880";Sul do Equador;NOVA LACERDA;MT;Minério de Ouro Primário;8,00;1.280.409,00;5 - Alteamento por linha de centro;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8686;B5;VERMELHAO MINERACAO INDUSTRIA E COMERCIO LTDA;16.857.492/0001-76;-20°24'06.500";-43°32'03.000";Sul do Equador;OURO PRETO;MG;Minério com Gemas;26,40;223.840,00;0 - Etapa única;Médio;Baixo;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
9128;B6;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°15'34.180";-47°45'29.400";Sul do Equador;PARAGOMINAS;PA;Bauxita Grau Metalúrgico;13,00;545.365,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8216;B6;VALE S.A.;33.592.510/0001-54;-20°03'29.700";-43°57'50.700";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;20,00;173.849,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8217;B7;VALE S.A.;33.592.510/0001-54;-20°03'40.100";-43°57'40.800";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;24,00;69.808,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
9182;Bacia "S";VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'39.500";-57°31'43.600";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;4,00;5.233,20;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9091;Bacia 01;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'05.000";-43°11'31.300";Sul do Equador;BELA VISTA DE MINAS;MG;Minério de Ferro;9,00;1.000,00;10 - Alteamento a montante;N/A;N/A;Não;Sem emergência;-;-
9160;Bacia 02 Pé da Serra;MINERACAO CORUMBAENSE REUNIDA S.A.;03.327.988/0001-96;-19°10'21.120";-57°38'14.740";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;4,25;2.202,00;0 - Etapa única;Médio;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
9272;Bacia 02-03 Alto da Serra Mn;MINERACAO CORUMBAENSE REUNIDA S.A.;03.327.988/0001-96;-19°11'26.914";-57°37'00.111";Sul do Equador;CORUMBÁ;MS;Minério de Manganês;10,08;9.479,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9163;Bacia 03-04 Pé da Serra;MINERACAO CORUMBAENSE REUNIDA S.A.;03.327.988/0001-96;-19°10'26.511";-57°38'22.230";Sul do Equador;CORUMBÁ;MS;Minério de Manganês;4,20;86.380,00;0 - Etapa única;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
9164;Bacia 05 Alto da Serra;MINERACAO CORUMBAENSE REUNIDA S.A.;03.327.988/0001-96;-19°11'30.625";-57°36'49.613";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;11,69;5.662,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9092;Bacia 07;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'59.200";-43°10'59.200";Sul do Equador;BELA VISTA DE MINAS;MG;Minério de Ferro;7,00;500,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9093;Bacia 08;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'05.900";-43°10'48.600";Sul do Equador;BELA VISTA DE MINAS;MG;Minério de Ferro;7,00;5.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9094;Bacia 09;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'37.840";-43°11'21.930";Sul do Equador;BELA VISTA DE MINAS;MG;Minério de Ferro;7,00;2.200,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9062;Bacia 1 A;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°34'24.398";-48°45'10.378";Sul do Equador;BARCARENA;PA;Caulim;9,00;858.000,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9063;Bacia 1 B;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°34'27.000";-48°45'01.800";Sul do Equador;BARCARENA;PA;Caulim;9,00;260.000,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9095;Bacia 15;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'34.733";-43°11'27.772";Sul do Equador;BELA VISTA DE MINAS;MG;Minério de Ferro;5,00;2.200,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9096;Bacia 16;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'09.952";-43°10'22.069";Sul do Equador;BELA VISTA DE MINAS;MG;Minério de Ferro;12,00;12.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9287;Bacia 17;SERABI MINERACAO S.A.;04.207.303/0001-30;-06°19'30.340";-55°47'10.880";Sul do Equador;ITAITUBA;PA;Minério de Ouro Primário;26,00;35.870,00;0 - Etapa única;Baixo;Baixo;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
9097;Bacia 17;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'01.777";-43°09'54.766";Sul do Equador;BELA VISTA DE MINAS;MG;Minério de Ferro;8,00;3.500,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9064;Bacia 2;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°34'23.000";-48°45'20.000";Sul do Equador;BARCARENA;PA;Caulim;9,00;850.000,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9065;Bacia 3;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°34'14.200";-48°45'25.300";Sul do Equador;BARCARENA;PA;Caulim;9,00;478.902,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9067;Bacia 5 A;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°34'51.250";-48°44'59.222";Sul do Equador;BARCARENA;PA;Caulim;13,50;510.000,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9068;Bacia 5 B;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°34'52.827";-48°45'04.708";Sul do Equador;BARCARENA;PA;Caulim;13,50;270.000,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9069;Bacia 5 C;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°35'02.400";-48°44'56.100";Sul do Equador;BARCARENA;PA;Caulim;13,50;767.000,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9070;Bacia 6 A;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°34'58.000";-48°44'49.400";Sul do Equador;BARCARENA;PA;Caulim;11,00;503.496,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9741;Bacia 6B;IMERYS RIO CAPIM CAULIM S.A.;16.532.798/0001-52;-01°34'49.000";-48°44'51.400";Sul do Equador;BARCARENA;PA;Caulim;15,88;846.737,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8267;Bacia A;CARBONIFERA METROPOLITANA S/A;83.647.917/0001-00;-28°29'31.600";-49°27'37.000";Sul do Equador;TREVISO;SC;Carvão Mineral Camada Bonito;5,30;17.700,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8268;Bacia B;CARBONIFERA METROPOLITANA S/A;83.647.917/0001-00;-28°29'38.900";-49°27'36.100";Sul do Equador;TREVISO;SC;Carvão Mineral Camada Bonito;6,50;17.900,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9074;Bacia B 1;PARA PIGMENTOS S A;33.931.510/0001-31;-02°50'00.500";-47°54'29.000";Sul do Equador;IPIXUNA DO PARÁ;PA;Caulim;13,00;270.000,00;0 - Etapa única;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9174;Bacia B-2A;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'41.600";-57°31'42.800";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;9,60;10.275,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9175;Bacia B-2B;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'41.600";-57°31'42.800";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;9,60;7.557,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9176;Bacia B-3;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'44.700";-57°31'42.300";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;4,31;5.397,71;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9177;Bacia B-4;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'43.500";-57°31'40.500";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;5,00;4.385,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9178;Bacia B-5A;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'44.400";-57°31'40.000";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;5,00;3.766,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9179;Bacia B-5B;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'45.000";-57°31'39.400";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;5,00;2.319,80;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9180;Bacia B-8;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'52.800";-57°31'37.400";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;5,00;7.259,80;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9181;Bacia B-9;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'55.000";-57°31'35.800";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;5,25;8.032,89;0 - Etapa única;Médio;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8860;Bacia de Acumulação 01;Carbonífera Siderópolis Ltda.;83.852.137/0001-00;-28°27'13.000";-49°22'13.000";Sul do Equador;URUSSANGA;SC;Carvão Mineral Camada Barro Branco;7,10;117.757,76;0 - Etapa única;Baixo;Alto;Sim;Nível de Alerta;2º Campanha 2023 - Atestado;1º Campanha 2023 - Não Enviado
